族群,細產業,檔名,細產業代碼,成分股數,來源網址
營造工程,住宅建設,營造工程_住宅建設.csv,C025020,18,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025020
營造工程,基礎建設,營造工程_基礎建設.csv,C025021,14,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025021
營造工程,其他營造工程,營造工程_其他營造工程.csv,C025022,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025022
營造工程,幕牆工程,營造工程_幕牆工程.csv,C025023,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025023
營造工程,設計裝潢,營造工程_設計裝潢.csv,C025030,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025030
營造工程,園林造景,營造工程_園林造景.csv,C025031,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025031
營造工程,水電消防工程,營造工程_水電消防工程.csv,C025032,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025032
營造工程,營造工程,營造工程_營造工程.csv,C025090,45,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025090
營造工程,土石方工程商,營造工程_土石方工程商.csv,C025100,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025100
營造工程,工程統包商,營造工程_工程統包商.csv,C025101,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025101
營造工程,工程顧問,營造工程_工程顧問.csv,C099160,9,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099160
營造工程,環保工程,營造工程_環保工程.csv,C099191,9,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099191
基礎建設營運,基礎建設營運,基礎建設營運_基礎建設營運.csv,C025900,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025900
基礎建設營運,公路,基礎建設營運_公路.csv,C025910,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025910
基礎建設營運,機場,基礎建設營運_機場.csv,C025930,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025930
基礎建設營運,港口,基礎建設營運_港口.csv,C025940,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025940
運輸事業,貨櫃場服務,運輸事業_貨櫃場服務.csv,C026010,10,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026010
運輸事業,倉儲服務,運輸事業_倉儲服務.csv,C026011,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026011
運輸事業,貨櫃航運,運輸事業_貨櫃航運.csv,C026020,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026020
運輸事業,散裝航運,運輸事業_散裝航運.csv,C026030,9,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026030
運輸事業,陸運,運輸事業_陸運.csv,C026040,9,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026040
運輸事業,空運,運輸事業_空運.csv,C026050,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026050
運輸事業,海空運承攬業,運輸事業_海空運承攬業.csv,C026051,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026051
運輸事業,飛機維修,運輸事業_飛機維修.csv,C026052,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026052
運輸事業,客運,運輸事業_客運.csv,C026060,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026060
運輸事業,水上運輸,運輸事業_水上運輸.csv,C026061,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026061
運輸事業,油輪,運輸事業_油輪.csv,C026062,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026062
運輸事業,鐵路運輸,運輸事業_鐵路運輸.csv,C026063,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026063
運輸事業,運輸事業,運輸事業_運輸事業.csv,C026990,41,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C026990
運輸事業,物流業,運輸事業_物流業.csv,C029030,10,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029030
旅宿／餐飲,旅宿／餐飲,旅宿／餐飲_旅宿／餐飲.csv,C027010,57,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027010
旅宿／餐飲,飯店,旅宿／餐飲_飯店.csv,C027011,27,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027011
旅宿／餐飲,餐飲,旅宿／餐飲_餐飲.csv,C027013,30,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027013
旅宿／餐飲,渡假山莊,旅宿／餐飲_渡假山莊.csv,C027014,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027014
旅宿／餐飲,休閒食品零售,旅宿／餐飲_休閒食品零售.csv,C027015,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027015
旅宿／餐飲,連鎖飲料,旅宿／餐飲_連鎖飲料.csv,C027016,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027016
休閒娛樂,休閒娛樂,休閒娛樂_休閒娛樂.csv,C027012,19,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027012
